,gene1,gene2,result
266,G:HGNC:9322,G:HGNC:25415,"Meta path:['GTG'], rank is 125 and total rank is 536"
267,G:HGNC:3002,G:HGNC:23029,"Meta path:['GTG'], rank is 21 and total rank is 422"
268,G:HGNC:29149,G:HGNC:9322,"Meta path:['GTG'], rank is 67 and total rank is 551"
269,G:HGNC:16890,G:HGNC:9276,"Meta path:['GTG'], rank is 67 and total rank is 386"
270,G:HGNC:29037,G:HGNC:29185,"Meta path:['GTG'], rank is 1 and total rank is 328"
271,G:HGNC:17843,G:HGNC:16352,"Meta path:['GTG'], rank is 206 and total rank is 391"
272,G:HGNC:17,G:HGNC:9157,"Meta path:['GTG'], rank is 41 and total rank is 233"
273,G:HGNC:1118,G:HGNC:1667,"Meta path:['GTG'], rank is 1 and total rank is 447"
274,G:HGNC:20785,G:HGNC:9316,"Meta path:['GTG'], rank is 133 and total rank is 343"
275,G:HGNC:10251,G:HGNC:2933,"Meta path:['GTG', 'GMDpDMG'], rank is 137 and total rank is 10785"
276,G:HGNC:18133,G:HGNC:30045,"Meta path:['GTG'], rank is 65 and total rank is 568"
277,G:HGNC:8590,G:HGNC:9410,"Meta path:['GPdPG'], rank is 7 and total rank is 51"
278,G:HGNC:4878,G:HGNC:4879,"Meta path:['GTG'], rank is 1 and total rank is 438"
279,G:HGNC:2678,G:HGNC:25538,"Meta path:['GDpDG', 'GDpDpDG', 'GPdPG', 'GTG'], rank is 1 and total rank is 8"
280,G:HGNC:9314,G:HGNC:9319,"Meta path:['GTG'], rank is 129 and total rank is 568"
281,G:HGNC:10251,G:HGNC:11399,"Meta path:['GTG'], rank is 323 and total rank is 741"
282,G:HGNC:14585,G:HGNC:1463,"Meta path:['GPdPG'], rank is 6 and total rank is 42"
283,G:HGNC:4131,G:HGNC:19875,"Meta path:['GTG'], rank is 11 and total rank is 246"
284,G:HGNC:16381,G:HGNC:9306,"Meta path:['GTG'], rank is 77 and total rank is 266"
285,G:HGNC:6190,G:HGNC:8031,"Meta path:['GPdPG'], rank is 20 and total rank is 63"
286,G:HGNC:2460,G:HGNC:6849,"Meta path:['GTG'], rank is 271 and total rank is 609"
287,G:HGNC:22140,G:HGNC:10251,"Meta path:['GTG'], rank is 395 and total rank is 726"
288,G:HGNC:10251,G:HGNC:9403,"Meta path:['GTG'], rank is 157 and total rank is 835"
289,G:HGNC:9316,G:HGNC:9305,"Meta path:['GTG'], rank is 55 and total rank is 390"
290,G:HGNC:8646,G:HGNC:24474,"Meta path:['GTG'], rank is 1 and total rank is 402"
291,G:HGNC:9318,G:HGNC:25415,"Meta path:['GTG'], rank is 52 and total rank is 270"
292,G:HGNC:2460,G:HGNC:2933,"Meta path:['GTG'], rank is 210 and total rank is 617"
293,G:HGNC:20785,G:HGNC:9306,"Meta path:['GTG'], rank is 44 and total rank is 234"
294,G:HGNC:13538,G:HGNC:9395,"Meta path:['GTG'], rank is 168 and total rank is 666"
295,G:HGNC:9276,G:HGNC:9319,"Meta path:['GTG'], rank is 25 and total rank is 407"
296,G:HGNC:30040,G:HGNC:9029,"Meta path:['GTG'], rank is 7 and total rank is 350"
297,G:HGNC:4250,G:HGNC:4251,"Meta path:['GTG'], rank is 3 and total rank is 384"
298,G:HGNC:549,G:HGNC:550,"Meta path:['GTG'], rank is 1 and total rank is 439"
299,G:HGNC:11503,G:HGNC:8108,"Meta path:['GTG'], rank is 54 and total rank is 509"
300,G:HGNC:28569,G:HGNC:30541,"Meta path:['GTG'], rank is 78 and total rank is 257"
301,G:HGNC:811,G:HGNC:817,"Meta path:['GTG'], rank is 71 and total rank is 549"
302,G:HGNC:22140,G:HGNC:2933,"Meta path:['GTG'], rank is 104 and total rank is 468"
303,G:HGNC:24791,G:HGNC:9038,"Meta path:['GTG'], rank is 17 and total rank is 349"
304,G:HGNC:9410,G:HGNC:9380,"Meta path:['GPdPG'], rank is 21 and total rank is 75"
305,G:HGNC:3763,G:HGNC:6524,"Meta path:['GPdPG'], rank is 29 and total rank is 70"
306,G:HGNC:33437,G:HGNC:4629,"Meta path:['GTG'], rank is 11 and total rank is 332"
307,G:HGNC:251,G:HGNC:250,"Meta path:['GTG'], rank is 1 and total rank is 286"
308,G:HGNC:9407,G:HGNC:9395,"Meta path:['GTG'], rank is 24 and total rank is 713"
309,G:HGNC:7462,G:HGNC:7710,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
310,G:HGNC:6535,G:HGNC:6544,"Meta path:['GPdPG'], rank is 12 and total rank is 50"
311,G:HGNC:49151,G:HGNC:363,"Meta path:['GTG'], rank is 46 and total rank is 494"
312,G:HGNC:1459,G:HGNC:19341,"Meta path:['GPdPG'], rank is 2 and total rank is 37"
313,G:HGNC:20567,G:HGNC:20461,"Meta path:['GTG'], rank is 4 and total rank is 336"
314,G:HGNC:21144,G:HGNC:18144,"Meta path:['GTG'], rank is 3 and total rank is 272"
315,G:HGNC:9276,G:HGNC:9286,"Meta path:['GTG'], rank is 155 and total rank is 362"
316,G:HGNC:29037,G:HGNC:17175,"Meta path:['GTG'], rank is 21 and total rank is 415"
317,G:HGNC:13533,G:HGNC:13540,"Meta path:['GTG'], rank is 18 and total rank is 379"
318,G:HGNC:16381,G:HGNC:9303,"Meta path:['GTG'], rank is 28 and total rank is 303"
319,G:HGNC:855,G:HGNC:856,"Meta path:['GTG'], rank is 17 and total rank is 461"
320,G:HGNC:6524,G:HGNC:3657,"Meta path:['GPdPG'], rank is 27 and total rank is 57"
321,G:HGNC:10481,G:HGNC:9618,"Meta path:['GTG', 'GMG', 'GMDMG'], rank is 16 and total rank is 5407"
322,G:HGNC:9402,G:HGNC:30045,"Meta path:['GTG'], rank is 123 and total rank is 617"
323,G:HGNC:16890,G:HGNC:9318,"Meta path:['GTG'], rank is 78 and total rank is 328"
324,G:HGNC:6190,G:HGNC:2444,"Meta path:['GPdPG'], rank is 15 and total rank is 48"
325,G:HGNC:7460,G:HGNC:7461,"Meta path:['GPdPG'], rank is 2 and total rank is 24"
326,G:HGNC:1133,G:HGNC:6190,"Meta path:['GPdPG'], rank is 15 and total rank is 39"
327,G:HGNC:9204,G:HGNC:9205,"Meta path:['GTG'], rank is 9 and total rank is 355"
328,G:HGNC:6524,G:HGNC:3955,"Meta path:['GTG'], rank is 15 and total rank is 610"
329,G:HGNC:8787,G:HGNC:8786,"Meta path:['GPdPG'], rank is 1 and total rank is 18"
330,G:HGNC:4627,G:HGNC:16906,"Meta path:['GPdPG'], rank is 2 and total rank is 13"
331,G:HGNC:1459,G:HGNC:1461,"Meta path:['GPdPG'], rank is 2 and total rank is 37"
332,G:HGNC:4641,G:HGNC:4634,"Meta path:['GPdPG'], rank is 4 and total rank is 19"
333,G:HGNC:8592,G:HGNC:13480,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
334,G:HGNC:16381,G:HGNC:25415,"Meta path:['GTG'], rank is 12 and total rank is 266"
335,G:HGNC:19342,G:HGNC:23317,"Meta path:['GTG'], rank is 19 and total rank is 177"
336,G:HGNC:21531,G:HGNC:23233,"Meta path:['GTG'], rank is 6 and total rank is 207"
337,G:HGNC:9410,G:HGNC:10251,"Meta path:['GTG'], rank is 202 and total rank is 752"
338,G:HGNC:3391,G:HGNC:3955,"Meta path:['GPdPG'], rank is 6 and total rank is 43"
339,G:HGNC:28157,G:HGNC:27168,"Meta path:['GTG'], rank is 5 and total rank is 224"
340,G:HGNC:17819,G:HGNC:17820,"Meta path:['GTG'], rank is 4 and total rank is 282"
341,G:HGNC:30040,G:HGNC:9036,"Meta path:['GTG'], rank is 15 and total rank is 364"
342,G:HGNC:4925,G:HGNC:4923,"Meta path:['GTG'], rank is 4 and total rank is 434"
343,G:HGNC:2279,G:HGNC:2280,"Meta path:['GPdPG'], rank is 1 and total rank is 11"
344,G:HGNC:11455,G:HGNC:11454,"Meta path:['GTG'], rank is 7 and total rank is 278"
345,G:HGNC:3391,G:HGNC:12434,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
346,G:HGNC:8784,G:HGNC:8793,"Meta path:['GPdPG'], rank is 12 and total rank is 55"
347,G:HGNC:21474,G:HGNC:11504,"Meta path:['GTG', 'GMDMG'], rank is 1 and total rank is 4848"
348,G:HGNC:16381,G:HGNC:9315,"Meta path:['GTG'], rank is 303 and total rank is 498"
349,G:HGNC:13480,G:HGNC:9412,"Meta path:['GTG'], rank is 251 and total rank is 748"
350,G:HGNC:9031,G:HGNC:24791,"Meta path:['GTG'], rank is 20 and total rank is 408"
351,G:HGNC:362,G:HGNC:33814,"Meta path:['GTG'], rank is 95 and total rank is 362"
352,G:HGNC:14180,G:HGNC:30167,"Meta path:['GTG'], rank is 1 and total rank is 348"
353,G:HGNC:813,G:HGNC:812,"Meta path:['GTG'], rank is 9 and total rank is 500"
354,G:HGNC:2972,G:HGNC:2973,"Meta path:['GMG'], rank is 77 and total rank is 394"
355,G:HGNC:9288,G:HGNC:9304,"Meta path:['GMDMG', 'GMDpDMG'], rank is 56 and total rank is 13172"
356,G:HGNC:8592,G:HGNC:9416,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
357,G:HGNC:19662,G:HGNC:4641,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
358,G:HGNC:9611,G:HGNC:3657,"Meta path:['GPdPG'], rank is 4 and total rank is 40"
359,G:HGNC:2285,G:HGNC:2277,"Meta path:['GTG'], rank is 5 and total rank is 206"
360,G:HGNC:13536,G:HGNC:13552,"Meta path:['GTG'], rank is 7 and total rank is 435"
361,G:HGNC:2460,G:HGNC:9403,"Meta path:['GTG'], rank is 105 and total rank is 653"
362,G:HGNC:9299,G:HGNC:18583,"Meta path:['GTG'], rank is 121 and total rank is 518"
363,G:HGNC:19662,G:HGNC:16906,"Meta path:['GPdPG'], rank is 2 and total rank is 17"
364,G:HGNC:9302,G:HGNC:18583,"Meta path:['GTG'], rank is 83 and total rank is 549"
365,G:HGNC:29037,G:HGNC:19218,"Meta path:['GTG'], rank is 27 and total rank is 371"
366,G:HGNC:7448,G:HGNC:7450,"Meta path:['GTG'], rank is 14 and total rank is 535"
367,G:HGNC:2294,G:HGNC:2292,"Meta path:['GPdPG'], rank is 1 and total rank is 11"
368,G:HGNC:226,G:HGNC:227,"Meta path:['GTG'], rank is 4 and total rank is 519"
369,G:HGNC:12576,G:HGNC:23061,"Meta path:['GTG'], rank is 1 and total rank is 279"
370,G:HGNC:9038,G:HGNC:18555,"Meta path:['GTG'], rank is 25 and total rank is 330"
371,G:HGNC:5200,G:HGNC:5195,"Meta path:['GTG'], rank is 5 and total rank is 167"
372,G:HGNC:9611,G:HGNC:8031,"Meta path:['GPdPG'], rank is 14 and total rank is 65"
373,G:HGNC:8885,G:HGNC:8887,"Meta path:['GTG'], rank is 1 and total rank is 154"
374,G:HGNC:7759,G:HGNC:7760,"Meta path:['GTG'], rank is 2 and total rank is 347"
375,G:HGNC:9304,G:HGNC:30695,"Meta path:['GTG'], rank is 72 and total rank is 341"
376,G:HGNC:1970,G:HGNC:6938,"Meta path:['GTG', 'GMG'], rank is 1 and total rank is 1372"
377,G:HGNC:9276,G:HGNC:9306,"Meta path:['GMDpDMG'], rank is 12 and total rank is 3427"
378,G:HGNC:30488,G:HGNC:19873,"Meta path:['GTG'], rank is 4 and total rank is 208"
379,G:HGNC:4131,G:HGNC:23233,"Meta path:['GTG'], rank is 8 and total rank is 205"
380,G:HGNC:11298,G:HGNC:12761,"Meta path:['GPdPG'], rank is 8 and total rank is 39"
381,G:HGNC:9304,G:HGNC:9287,"Meta path:['GTG'], rank is 52 and total rank is 453"
382,G:HGNC:6524,G:HGNC:6193,"Meta path:['GDpDG', 'GPdPG', 'GTG', 'GMG'], rank is 1 and total rank is 6"
383,G:HGNC:13994,G:HGNC:9350,"Meta path:['GTG'], rank is 8 and total rank is 461"
384,G:HGNC:33437,G:HGNC:4636,"Meta path:['GTG', 'GMDMG'], rank is 4 and total rank is 7125"
385,G:HGNC:19875,G:HGNC:21531,"Meta path:['GTG'], rank is 9 and total rank is 245"
386,G:HGNC:393,G:HGNC:16254,"Meta path:['GTG'], rank is 33 and total rank is 503"
387,G:HGNC:6190,G:HGNC:3387,"Meta path:['GPdPG'], rank is 8 and total rank is 41"
388,G:HGNC:11408,G:HGNC:30045,"Meta path:['GTG', 'GMDMG', 'GMDpDMG'], rank is 21 and total rank is 15490"
389,G:HGNC:9483,G:HGNC:9486,"Meta path:['GTG'], rank is 1 and total rank is 410"
390,G:HGNC:8777,G:HGNC:8784,"Meta path:['GPdPG', 'GTG', 'GMG'], rank is 3 and total rank is 77"
391,G:HGNC:9276,G:HGNC:9318,"Meta path:['GTG'], rank is 123 and total rank is 371"
392,G:HGNC:236,G:HGNC:237,"Meta path:['GTG', 'GMG'], rank is 1 and total rank is 1847"
393,G:HGNC:9278,G:HGNC:19388,"Meta path:['GTG'], rank is 58 and total rank is 451"
394,G:HGNC:9416,G:HGNC:9395,"Meta path:['GTG'], rank is 183 and total rank is 618"
395,G:HGNC:28725,G:HGNC:29228,"Meta path:['GTG'], rank is 1 and total rank is 292"
396,G:HGNC:14451,G:HGNC:9228,"Meta path:['GTG'], rank is 137 and total rank is 320"
397,G:HGNC:13538,G:HGNC:11399,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
398,G:HGNC:23440,G:HGNC:19199,"Meta path:['GTG'], rank is 213 and total rank is 419"
399,G:HGNC:28624,G:HGNC:21163,"Meta path:['GMG'], rank is 149 and total rank is 439"
400,G:HGNC:1474,G:HGNC:25096,"Meta path:['GMDpDMG'], rank is 89 and total rank is 3862"
401,G:HGNC:1908,G:HGNC:29489,"Meta path:['GTG'], rank is 152 and total rank is 436"
402,G:HGNC:11723,G:HGNC:17443,"Meta path:['GTG'], rank is 311 and total rank is 446"
403,G:HGNC:26648,G:HGNC:11825,"Meta path:['GMDMG'], rank is 108 and total rank is 1772"
404,G:HGNC:26465,G:HGNC:1673,"Meta path:['GMDMG'], rank is 710 and total rank is 2445"
405,G:HGNC:37241,G:HGNC:23790,"Meta path:['GMDMG'], rank is 949 and total rank is 2493"
406,G:HGNC:1474,G:HGNC:14432,"Meta path:['GTG'], rank is 239 and total rank is 442"
407,G:HGNC:12033,G:HGNC:4182,"Meta path:['GTG'], rank is 344 and total rank is 521"
408,G:HGNC:31350,G:HGNC:25147,"Meta path:['GMDMG'], rank is 253 and total rank is 2090"
409,G:HGNC:11514,G:HGNC:24035,"Meta path:['GTG'], rank is 177 and total rank is 611"
410,G:HGNC:33028,G:HGNC:26199,"Meta path:['GTG'], rank is 33 and total rank is 278"
411,G:HGNC:34071,G:HGNC:26148,"Meta path:['GMDMG'], rank is 3009 and total rank is 3983"
412,G:HGNC:8568,G:HGNC:27564,"Meta path:['GTG'], rank is 388 and total rank is 519"
413,G:HGNC:17146,G:HGNC:25439,"Meta path:['GMDMG'], rank is 1576 and total rank is 3754"
414,G:HGNC:24011,G:HGNC:20628,"Meta path:['GTG'], rank is 101 and total rank is 461"
415,G:HGNC:9794,G:HGNC:7548,"Meta path:['GTG'], rank is 284 and total rank is 487"
416,G:HGNC:6378,G:HGNC:533,"Meta path:['GTG'], rank is 486 and total rank is 790"
417,G:HGNC:29157,G:HGNC:26185,"Meta path:['GMDMG'], rank is 2028 and total rank is 2966"
418,G:HGNC:22988,G:HGNC:14377,"Meta path:['GMDMG'], rank is 839 and total rank is 2350"
419,G:HGNC:638,G:HGNC:6940,"Meta path:['GTG'], rank is 272 and total rank is 445"
420,G:HGNC:14906,G:HGNC:27849,"Meta path:['GTG'], rank is 132 and total rank is 394"
421,G:HGNC:5000,G:HGNC:9364,"Meta path:['GMDMG'], rank is 3837 and total rank is 4642"
422,G:HGNC:16162,G:HGNC:29898,"Meta path:['GMDMG'], rank is 155 and total rank is 1876"
423,G:HGNC:10411,G:HGNC:10057,"Meta path:['GTG'], rank is 184 and total rank is 456"
424,G:HGNC:25840,G:HGNC:1734,"Meta path:['GTG'], rank is 160 and total rank is 489"
425,G:HGNC:30784,G:HGNC:19894,"Meta path:['GTG'], rank is 133 and total rank is 367"
426,G:HGNC:9824,G:HGNC:2261,"Meta path:['GTG'], rank is 112 and total rank is 402"
427,G:HGNC:10921,G:HGNC:20922,"Meta path:['GTG'], rank is 185 and total rank is 375"
428,G:HGNC:23715,G:HGNC:14073,"Meta path:['GTG'], rank is 174 and total rank is 355"
429,G:HGNC:6473,G:HGNC:24576,"Meta path:['GTG'], rank is 103 and total rank is 484"
430,G:HGNC:18036,G:HGNC:15858,"Meta path:['GMDMG'], rank is 1987 and total rank is 3269"
431,G:HGNC:2891,G:HGNC:5816,"Meta path:['GTG'], rank is 183 and total rank is 486"
432,G:HGNC:25582,G:HGNC:14313,"Meta path:['GTG'], rank is 180 and total rank is 352"
433,G:HGNC:18696,G:HGNC:6757,"Meta path:['GTG'], rank is 120 and total rank is 368"
434,G:HGNC:12947,G:HGNC:29480,"Meta path:['GTG'], rank is 301 and total rank is 461"
435,G:HGNC:26045,G:HGNC:11556,"Meta path:['GTG'], rank is 514 and total rank is 618"
436,G:HGNC:17448,G:HGNC:1050,"Meta path:['GMG'], rank is 220 and total rank is 501"
437,G:HGNC:20321,G:HGNC:1685,"Meta path:['GTG'], rank is 135 and total rank is 358"
438,G:HGNC:8693,G:HGNC:14937,"Meta path:['GMDMG'], rank is 3789 and total rank is 4546"
439,G:HGNC:25171,G:HGNC:10889,"Meta path:['GMDMG'], rank is 2034 and total rank is 3440"
440,G:HGNC:3439,G:HGNC:843,"Meta path:['GMDMG'], rank is 2166 and total rank is 3389"
441,G:HGNC:32006,G:HGNC:28324,"Meta path:['GTG'], rank is 79 and total rank is 312"
442,G:HGNC:4775,G:HGNC:6943,"Meta path:['GTG'], rank is 104 and total rank is 521"
443,G:HGNC:16613,G:HGNC:7830,"Meta path:['GTG'], rank is 48 and total rank is 289"
444,G:HGNC:18858,G:HGNC:23062,"Meta path:['GTG'], rank is 31 and total rank is 223"
445,G:HGNC:5973,G:HGNC:29346,"Meta path:['GMDMG'], rank is 2607 and total rank is 3452"
446,G:HGNC:34386,G:HGNC:26904,"Meta path:['GTG'], rank is 34 and total rank is 246"
447,G:HGNC:30096,G:HGNC:21234,"Meta path:['GTG'], rank is 103 and total rank is 328"
448,G:HGNC:5407,G:HGNC:18824,"Meta path:['GTG'], rank is 200 and total rank is 419"
449,G:HGNC:16234,G:HGNC:29801,"Meta path:['GTG'], rank is 105 and total rank is 536"
450,G:HGNC:6823,G:HGNC:20253,"Meta path:['GMDMG'], rank is 1724 and total rank is 3275"
451,G:HGNC:1875,G:HGNC:18603,"Meta path:['GTG'], rank is 222 and total rank is 406"
452,G:HGNC:23023,G:HGNC:6633,"Meta path:['GMDMG'], rank is 1332 and total rank is 3068"
453,G:HGNC:15646,G:HGNC:6277,"Meta path:['GTG'], rank is 186 and total rank is 473"
454,G:HGNC:24256,G:HGNC:3519,"Meta path:['GTG'], rank is 344 and total rank is 484"
455,G:HGNC:21155,G:HGNC:35241,"Meta path:['GMDMG'], rank is 5152 and total rank is 5692"
456,G:HGNC:15309,G:HGNC:21153,"Meta path:['GTG'], rank is 214 and total rank is 411"
457,G:HGNC:13561,G:HGNC:4756,"Meta path:['GTG'], rank is 134 and total rank is 453"
458,G:HGNC:6152,G:HGNC:8967,"Meta path:['GTG'], rank is 192 and total rank is 467"
459,G:HGNC:1097,G:HGNC:5003,"Meta path:['GMDMG'], rank is 1450 and total rank is 3310"
460,G:HGNC:12482,G:HGNC:24431,"Meta path:['GTG'], rank is 98 and total rank is 354"
461,G:HGNC:17932,G:HGNC:24637,"Meta path:['GTG'], rank is 182 and total rank is 376"
462,G:HGNC:14375,G:HGNC:1170,"Meta path:['GTG'], rank is 262 and total rank is 440"
463,G:HGNC:21675,G:HGNC:20248,"Meta path:['GMDpDMG'], rank is 1724 and total rank is 4253"
464,G:HGNC:13499,G:HGNC:18275,"Meta path:['GTG'], rank is 66 and total rank is 393"
465,G:HGNC:10970,G:HGNC:17146,"Meta path:['GTG'], rank is 264 and total rank is 415"
466,G:HGNC:1074,G:HGNC:29876,"Meta path:['GMDpDMG'], rank is 2841 and total rank is 5503"
467,G:HGNC:40,G:HGNC:5348,"Meta path:['GTG'], rank is 176 and total rank is 458"
468,G:HGNC:21390,G:HGNC:13996,"Meta path:['GMG'], rank is 1 and total rank is 137"
469,G:HGNC:24717,G:HGNC:15500,"Meta path:['GTG'], rank is 118 and total rank is 377"
470,G:HGNC:2469,G:HGNC:5225,"Meta path:['GTG'], rank is 266 and total rank is 545"
471,G:HGNC:25128,G:HGNC:16389,"Meta path:['GTG'], rank is 30 and total rank is 204"
472,G:HGNC:18464,G:HGNC:6922,"Meta path:['GMDMG'], rank is 1718 and total rank is 2499"
473,G:HGNC:21155,G:HGNC:5974,"Meta path:['GTG'], rank is 136 and total rank is 420"
474,G:HGNC:19087,G:HGNC:1982,"Meta path:['GTG'], rank is 309 and total rank is 495"
475,G:HGNC:26371,G:HGNC:33816,"Meta path:['GMG'], rank is 26 and total rank is 264"
476,G:HGNC:18988,G:HGNC:32458,"Meta path:['GTG'], rank is 11 and total rank is 321"
477,G:HGNC:3501,G:HGNC:9070,"Meta path:['GTG'], rank is 252 and total rank is 484"
478,G:HGNC:24856,G:HGNC:34300,"Meta path:['GMG'], rank is 529 and total rank is 1093"
479,G:HGNC:26270,G:HGNC:8244,"Meta path:['GTG'], rank is 50 and total rank is 283"
480,G:HGNC:16850,G:HGNC:3392,"Meta path:['GTG'], rank is 501 and total rank is 569"
481,G:HGNC:13764,G:HGNC:12950,"Meta path:['GTG'], rank is 125 and total rank is 436"
482,G:HGNC:14436,G:HGNC:208,"Meta path:['GTG'], rank is 120 and total rank is 343"
483,G:HGNC:28633,G:HGNC:37155,"Meta path:['GMDMG'], rank is 1965 and total rank is 2626"
484,G:HGNC:29829,G:HGNC:2205,"Meta path:['GMDMG'], rank is 154 and total rank is 2142"
485,G:HGNC:33111,G:HGNC:13579,"Meta path:['GMDpDMG'], rank is 47 and total rank is 2598"
486,G:HGNC:34409,G:HGNC:4772,"Meta path:['GTG'], rank is 107 and total rank is 422"
487,G:HGNC:10249,G:HGNC:14237,"Meta path:['GTG'], rank is 273 and total rank is 424"
488,G:HGNC:20625,G:HGNC:24583,"Meta path:['GTG'], rank is 122 and total rank is 353"
489,G:HGNC:27315,G:HGNC:21207,"Meta path:['GTG'], rank is 11 and total rank is 166"
490,G:HGNC:12947,G:HGNC:30522,"Meta path:['GTG'], rank is 78 and total rank is 414"
491,G:HGNC:17213,G:HGNC:29858,"Meta path:['GTG'], rank is 438 and total rank is 566"
492,G:HGNC:25748,G:HGNC:2742,"Meta path:['GTG'], rank is 177 and total rank is 429"
493,G:HGNC:8351,G:HGNC:5901,"Meta path:['GTG'], rank is 79 and total rank is 279"
494,G:HGNC:24198,G:HGNC:24737,"Meta path:['GTG'], rank is 81 and total rank is 361"
495,G:HGNC:28972,G:HGNC:28359,"Meta path:['GTG'], rank is 109 and total rank is 340"
496,G:HGNC:16955,G:HGNC:14952,"Meta path:['GTG'], rank is 32 and total rank is 227"
497,G:HGNC:21086,G:HGNC:6136,"Meta path:['GTG'], rank is 281 and total rank is 431"
498,G:HGNC:32669,G:HGNC:31589,"Meta path:['GTG'], rank is 209 and total rank is 370"
499,G:HGNC:18519,G:HGNC:21078,"Meta path:['GMDMG'], rank is 2416 and total rank is 3606"
500,G:HGNC:26078,G:HGNC:6879,"Meta path:['GMDMG'], rank is 2539 and total rank is 3371"
501,G:HGNC:16893,G:HGNC:12781,"Meta path:['GMDMG'], rank is 2090 and total rank is 2775"
502,G:HGNC:21549,G:HGNC:7706,"Meta path:['GTG'], rank is 65 and total rank is 279"
503,G:HGNC:32479,G:HGNC:18040,"Meta path:['GTG'], rank is 111 and total rank is 410"
504,G:HGNC:6679,G:HGNC:18344,"Meta path:['GMDMG'], rank is 1788 and total rank is 3367"
505,G:HGNC:29798,G:HGNC:24309,"Meta path:['GTG'], rank is 168 and total rank is 402"
506,G:HGNC:24696,G:HGNC:7172,"Meta path:['GMDMG'], rank is 1638 and total rank is 2714"
507,G:HGNC:11089,G:HGNC:30406,"Meta path:['GTG'], rank is 123 and total rank is 306"
508,G:HGNC:12767,G:HGNC:21016,"Meta path:['GMDMG'], rank is 2620 and total rank is 3925"
509,G:HGNC:15781,G:HGNC:16459,"Meta path:['GMG'], rank is 562 and total rank is 743"
510,G:HGNC:30097,G:HGNC:10830,"Meta path:['GTG'], rank is 301 and total rank is 447"
511,G:HGNC:11219,G:HGNC:23090,"Meta path:['GTG'], rank is 337 and total rank is 539"
512,G:HGNC:28680,G:HGNC:29564,"Meta path:['GTG'], rank is 29 and total rank is 311"
513,G:HGNC:29132,G:HGNC:24858,"Meta path:['GTG'], rank is 197 and total rank is 375"
514,G:HGNC:8030,G:HGNC:3211,"Meta path:['GTG'], rank is 200 and total rank is 403"
515,G:HGNC:14275,G:HGNC:21492,"Meta path:['GMDMG'], rank is 1074 and total rank is 2325"
516,G:HGNC:11714,G:HGNC:23526,"Meta path:['GTG'], rank is 384 and total rank is 544"
517,G:HGNC:13140,G:HGNC:18020,"Meta path:['GMDMG'], rank is 2478 and total rank is 3361"
518,G:HGNC:28467,G:HGNC:30293,"Meta path:['GMDMG'], rank is 2551 and total rank is 3545"
519,G:HGNC:24953,G:HGNC:17899,"Meta path:['GMDMG'], rank is 112 and total rank is 2948"
520,G:HGNC:10750,G:HGNC:20453,"Meta path:['GTG'], rank is 107 and total rank is 322"
521,G:HGNC:26291,G:HGNC:28005,"Meta path:['GTG'], rank is 79 and total rank is 275"
522,G:HGNC:16707,G:HGNC:17297,"Meta path:['GTG'], rank is 341 and total rank is 518"
523,G:HGNC:14929,G:HGNC:28097,"Meta path:['GMDMG'], rank is 4040 and total rank is 5106"
524,G:HGNC:9210,G:HGNC:6036,"Meta path:['GTG'], rank is 73 and total rank is 668"
525,G:HGNC:20761,G:HGNC:866,"Meta path:['GTG'], rank is 143 and total rank is 419"
526,G:HGNC:7732,G:HGNC:7422,"Meta path:['GTG'], rank is 347 and total rank is 504"
527,G:HGNC:25073,G:HGNC:16273,"Meta path:['GMDMG'], rank is 48 and total rank is 3712"
528,G:HGNC:19740,G:HGNC:6697,"Meta path:['GTG'], rank is 239 and total rank is 375"
